;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
0;1i7x_B;1i7x_B;0;-;-;-;-;-1.0
1;1i7x_B;1rkc_B;0;-;-;-;-;-1.0
2;1i7x_B;1rkc_A;0;-;-;-;-;-1.0
3;1i7x_B;1ydi_A;0;-;-;-;-;-1.0
4;1rkc_B;1rkc_B;0;-;-;-;-;-1.0
5;2zl1_B;3c5j_A;0;-;-;-;-;-1.0
6;2zl1_B;2zl1_B;0;-;-;-;-;-1.0
7;3bc1_B;3bc1_B;0;-;-;-;-;-1.0
8;3c66_A;3c66_A;0;-;-;-;-;-1.0
9;1mhw_C;2zl1_B;0;-;-;-;-;-1.0
10;1mhw_C;3c5j_A;0;-;-;-;-;-1.0
11;1mhw_A;2djg_A;0;-;-;-;-;-1.0
12;1mhw_A;2djg_B;0;-;-;-;-;-1.0
13;1mhw_A;2djg_C;0;-;-;-;-;-1.0
14;1mhw_A;2zl1_B;0;-;-;-;-;-1.0
15;1mhw_A;3c5j_A;0;-;-;-;-;-1.0
16;1mhw_C;2djg_A;0;-;-;-;-;-1.0
17;1mhw_C;2djg_B;0;-;-;-;-;-1.0
18;1mhw_C;2djg_C;0;-;-;-;-;-1.0
19;1i7x_A;1i7x_A;1;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_1.pdb;21.045360987359093
20;1mhw_C;1mhw_C;0;-;-;-;-;-1.0
21;1rkc_A;1rkc_B;1;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_1.pdb;0.9566233953273101
22;3c5j_A;3c5j_A;1;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_1.pdb;30.394792910002025
23;1i7x_A;1i7x_A;2;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_2.pdb;24.243288969878826
24;1vyh_C;1vyh_C;0;-;-;-;-;-1.0
25;1i7x_C;1i7x_C;1;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_1.pdb;23.789786070141815
26;1rkc_A;1rkc_B;2;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_2.pdb;0.9566233953273101
27;1ya5_A;1ya5_A;1;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_1.pdb;20.96603842740672
28;3c5j_A;3c5j_A;2;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_2.pdb;30.394789397774307
29;1rkc_A;1rkc_B;3;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_3.pdb;0.9566236335384076
30;1ya5_A;1ya5_A;2;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_2.pdb;20.96603842740672
31;3bc1_E;3bc1_E;1;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_1.pdb;24.216780025820803
32;1i7x_A;1i7x_A;3;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_3.pdb;21.045357928531768
33;1i7x_C;1i7x_C;2;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_2.pdb;23.78979118179515
34;3c5j_A;3c5j_A;3;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_3.pdb;30.394788136093997
35;2djg_A;2djg_A;1;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_1.pdb;9.521066824948468
36;1rkc_A;1rkc_B;4;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_4.pdb;0.9566268885389587
37;1ya5_A;1ya5_A;3;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_3.pdb;20.96603842740672
38;3bc1_E;3bc1_E;2;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_2.pdb;24.216797052402512
39;2c0l_A;2c0l_A;1;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_1.pdb;14.046223403195127
40;3c5j_A;3c5j_A;4;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_4.pdb;6.894451014739863
41;1i7x_A;1i7x_A;4;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_4.pdb;24.243288969878826
42;2djg_A;2djg_A;2;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_2.pdb;5.50903141311997
43;1i7x_C;1i7x_C;3;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_3.pdb;23.789794441197127
44;1rkc_A;1rkc_B;5;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_5.pdb;0.9566233953273101
45;1ya5_A;1ya5_A;4;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_4.pdb;20.96603842740672
46;2djg_A;2zl1_B;0;-;-;-;-;-1.0
47;2djg_A;3c5j_A;0;-;-;-;-;-1.0
48;3bc1_E;3bc1_E;3;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_3.pdb;24.216780167806068
49;2c0l_A;2c0l_A;2;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_2.pdb;11.697313302113308
50;2djg_A;2djg_A;3;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_3.pdb;5.509019980575386
51;2djg_A;2djg_B;1;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_1.pdb;0.23506032496141324
52;1rkc_B;1ydi_A;1;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_1.pdb;2.2288648635562476
53;1rkc_A;1rkc_B;6;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_6.pdb;0.9566233953273101
54;3bc1_E;3bc1_E;4;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_4.pdb;24.789690689467964
55;2djg_A;2djg_A;4;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_4.pdb;7.504431920548851
56;1i7x_A;1i7x_A;5;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_5.pdb;24.243288969878826
57;2djg_A;2djg_B;2;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_2.pdb;0.23506757507905876
58;1i7x_C;1i7x_C;4;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_4.pdb;23.78978937854648
59;3bc1_B;3bc1_E;1;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_1.pdb;10.393459429898373
60;2c0l_A;2c0l_A;3;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_3.pdb;15.482340117692983
61;1rkc_A;1rkc_B;7;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_7.pdb;0.9566233953273101
62;1rkc_B;1ydi_A;2;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_2.pdb;2.2288623651811754
63;3byh_A;3byh_A;1;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_1.pdb;17.33558469877055
64;3bc1_E;3bc1_E;5;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_5.pdb;24.250207497636193
65;2djg_A;2djg_A;5;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_5.pdb;5.508946773182608
